mulu|true|2508
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
-949,50.99538803100586,943|0.8608779907226562,-0,-0.5088114738464355|0,1,0|Running
