Mt Sangkala|true|40121
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
-851.0015869140625,249.16152954101562,-294.5846862792969|0,0,-1|0,1,0|Running
